timestamp,interface,can_id,data,label
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x326,00 11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x397,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x326,00 11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x397,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:58,can0,0x141,11,spoofing
2025-08-08 16:15:58,can0,0x36,11 00,spoofing
2025-08-08 16:15:58,can0,0x26,00 10,spoofing
2025-08-08 16:15:58,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x326,00 11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x397,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x326,00 11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x397,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x141,11,spoofing
2025-08-08 16:15:59,can0,0x36,11 00,spoofing
2025-08-08 16:15:59,can0,0x26,00 10,spoofing
2025-08-08 16:15:59,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x36,11 00,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
2025-08-08 16:16:00,can0,0x26,00 10,spoofing
2025-08-08 16:16:00,can0,0x131,01,spoofing
2025-08-08 16:16:00,can0,0x141,11,spoofing
